incident nummer,Incident categorie,Beschrijving incident
1188901,2e lijns (Doorgezette incidenten),CS-Agenda: vraag acceptatie account
1188902,3e lijns (Technische incidenten),"Open Lab Agilent, Wil een bestand verwijderen maar wil eerst met jou overleggen."
1188903,Hardware / Werkplekbeheer,Plaatsen en aansluiten thin client en printer.
1188904,3e lijns (Technische incidenten),Twitteravond
1188905,3e lijns (Technische incidenten),testen met G.J. Bril Rontgenbus kan geen verbinding maken
1188907,2e lijns (Doorgezette incidenten),standaardprinter wordt niet onthouden
1188909,3e lijns (Technische incidenten),the applications digital signature has an error
1188910,3e lijns (Technische incidenten),update Eskion 4.1.0 PRD
1188911,3e lijns (Technische incidenten),"Patchen netwerk outlets, Graag switch poorten doorgeven aan Daniel Pierik"
1188912,3e lijns (Technische incidenten),Labexpert
1188923,2e lijns (Doorgezette incidenten),Icoon mosos is niet beschikbaar wanneer je inlogt met telewerken
1188924,2e lijns (Doorgezette incidenten),"Windows 7 Thin Clients kunnen zelf niet de resolutie aanpassen ""via start accessoires"""
1188926,3e lijns (Technische incidenten),installeren Intermec media archief
1188938,3e lijns (Technische incidenten),foutmelding document
1188940,3e lijns (Technische incidenten),update terarecon
1188941,2e lijns (Doorgezette incidenten),3 Inlog toestellen uitgeleverd op de cardiofunctie  in Amsterdam en 1 in Amsterdam.
1188942,3e lijns (Technische incidenten),Outlook
1188944,3e lijns (Technische incidenten),Outlook extra postbussen zijn leeg
1188945,3e lijns (Technische incidenten),Cs not enough storage
1188946,3e lijns (Technische incidenten),onderzoek naar tool om werkplekken met 2 TFT's over te nemen.
1188948,2e lijns (Doorgezette incidenten),Vrijgeven RDP-sessie naar 80.65.97.144
1188950,3e lijns (Technische incidenten),Fin-ERP: Ontvlechten LAB uit WS domein
1188953,3e lijns (Technische incidenten),Uitbereiding WIFI WS Public
1188954,3e lijns (Technische incidenten),DKSE ODBC SQL Server driver (Timeout expired)
1188955,3e lijns (Technische incidenten),applicatie alarmen GBS
1188957,3e lijns (Technische incidenten),module mediae  beelden in CS bij telewerken - samen met radiologiebeheer uitzoeken
1188958,3e lijns (Technische incidenten),Uitfaseren Fortis-H01
1188960,3e lijns (Technische incidenten),Project: XDS / IZIT - Voorbesprekingen
1188963,3e lijns (Technische incidenten),Project: Migratie softgrid - Vooronderzoek
1188964,3e lijns (Technische incidenten),Vervanging NIS door nieuwe module CS-Rongten
1188966,3e lijns (Technische incidenten),Excel analysis toolpack
1188969,3e lijns (Technische incidenten),project prevalentiemeting ziekenhuisinfencties (PREZIES)
1188971,2e lijns (Doorgezette incidenten),CS vastlopers in afspraken maken
1188972,2e lijns (Doorgezette incidenten),WS Private ipv WS Public
1188974,2e lijns (Doorgezette incidenten),wire solutions scherm reageert nergens op
1188976,2e lijns (Doorgezette incidenten),Outlook postbus Telefonie toevoegen gaat neit eod.
1188977,1e lijns beheer (Helpdesk),printer koppelen
1188978,2e lijns (Doorgezette incidenten),CRM-ERP blijft hangen
1188979,2e lijns (Doorgezette incidenten),cs plannen loopt systeem vast
1188981,2e lijns (Doorgezette incidenten),CS CRM-ERP vastlopers hele afdeling
1188982,1e lijns beheer (Helpdesk),Outlook opnieuw instellen
1188983,Hardware / Werkplekbeheer,Schipmuur kamer. Geen geluid.
1188985,Hardware / Werkplekbeheer,wire solutions
1188987,1e lijns beheer (Helpdesk),printer resetten
1188988,2e lijns (Doorgezette incidenten),Outlook aut. handtekening is weg
1188993,Hardware / Werkplekbeheer,FAT client FANs maken herrie.
1188994,1e lijns beheer (Helpdesk),Printer pas activeren
1188995,1e lijns beheer (Helpdesk),tokencode nodig
1188999,2e lijns (Doorgezette incidenten),Accept account emaccept geen toegang tot de P:\ schijf
1189001,2e lijns (Doorgezette incidenten),wire solutions hotmail werkt niet goed
1189002,Telefonie / Communicatie,Toestel kan niet doorverbinden
1189003,2e lijns (Doorgezette incidenten),dv Raymond Kamphuis
1189005,1e lijns beheer (Helpdesk),Terugbelverzoek
1189006,Telefonie / Communicatie,"Handset, tst. 6112 accu raakt zeer snel leeg"
1189009,1e lijns beheer (Helpdesk),op zoek naar bertjan
1189011,Hardware / Werkplekbeheer,Bij Apotheek komt de deur tegen de Wifi router ZS29 aan. Moet verplaatst worden.
1189012,1e lijns beheer (Helpdesk),doorverbinden
1189014,2e lijns (Doorgezette incidenten),Br terugbellen
1189015,3e lijns (Technische incidenten),Brocacef: vraagt naar Robert Dekkers
1189017,Functioneel beheer,Printer voert onnodig papier uit en afdrukken op logo papier werkt niet
1189018,Hardware / Werkplekbeheer,Winlims: weer problemen met verbinding
1189019,3e lijns (Technische incidenten),back-up PACS SQL
1189020,Hardware / Werkplekbeheer,Instellingen van sticker staan niet goed.
1189023,3e lijns (Technische incidenten),Installatie Global monitoring - aanmaken database SQL
1189024,3e lijns (Technische incidenten),"Robert, svp terugbellen."
1189026,3e lijns (Technische incidenten),Gaat over domeinmail en vraagt naar robert dekkers
1189027,3e lijns (Technische incidenten),Groothandel heeft elektronische order niet ontvangen
1189028,3e lijns (Technische incidenten),Chipsoft comez koppeling ligt eruit als ze dbc willen ze ophalen krijgen ze melding
1189029,Hardware / Werkplekbeheer,Computer maakt veel lawaai en erg traag. ruimte D76
1189030,Hardware / Werkplekbeheer,NOG 2 OUDE TC's vervangen
1189031,3e lijns (Technische incidenten),PROAZ 3.20 installatie - Inrichting TEST omgeving
1189032,3e lijns (Technische incidenten),problemen proaz
1189034,3e lijns (Technische incidenten),Balanscommunicatie
1189035,3e lijns (Technische incidenten),Xcelsius 2008 en Query as a Webservice software
1189036,3e lijns (Technische incidenten),project: RFC01 Analyse/Ontwerp: domeinNetOost domeinportaal ontsluiten naar CS Portal (domeinverleners portaal) met SSO
1189039,3e lijns (Technische incidenten),Beschikbaarheid DKSe met Funct.beh en RK
1189042,3e lijns (Technische incidenten),Migratie edi-pc naar EDIPROD-Z01 - vooronderzoek
1189043,Functioneel beheer,E-verwijzen
1189046,Functioneel beheer,CS klant: Bulgarije is niet als land te kiezen
1189047,Functioneel beheer,CS klant: Scherm loopt vast bij wijzigen e-mailadres
1189049,1e lijns beheer (Helpdesk),Printer doet helemaal niks meer
1189051,2e lijns (Doorgezette incidenten),Dv met Raymond Kamphuis
1189053,2e lijns (Doorgezette incidenten),CS rechten
1189054,1e lijns beheer (Helpdesk),MF reageerd nergens meer op
1189055,2e lijns (Doorgezette incidenten),Outlook contactpersonen in mail kwijt
1189056,Functioneel beheer,CS Ziscon: Account deblControlekamerkeren
1189061,Telefonie / Communicatie,Voicemail checken
1189063,2e lijns (Doorgezette incidenten),Decos - PACS loopt vast
1189064,2e lijns (Doorgezette incidenten),"PC loopt vast, pc kan ik ook niet pingen"
1189069,Functioneel beheer,CS EPD: Contact verwijderen
1189070,2e lijns (Doorgezette incidenten),Word loopt vast met kopieren/plakken
1189072,Hardware / Werkplekbeheer,MF etiketten printen vlekt
1189077,2e lijns (Doorgezette incidenten),VCD safeword code
1189078,2e lijns (Doorgezette incidenten),dv DH
1189082,2e lijns (Doorgezette incidenten),MF rood lampje knippert maar lades gevuld
1189084,2e lijns (Doorgezette incidenten),wire solutions TV en telefoon
1189087,Hardware / Werkplekbeheer,MF geeft een veel strepen
1189089,2e lijns (Doorgezette incidenten),vd BR
1189091,1e lijns beheer (Helpdesk),webpagina vastgelopen
1189092,1e lijns beheer (Helpdesk),Printer pas activeren
1189093,Hardware / Werkplekbeheer,WS Connect arm defect. km 34 b4
1189096,2e lijns (Doorgezette incidenten),Heeft geen printers.
1189097,2e lijns (Doorgezette incidenten),wire solutions tel verdwijnt uit beeld
1189098,1e lijns beheer (Helpdesk),safeword code
1189099,2e lijns (Doorgezette incidenten),Outlook distributielijst heeft geen contacten
1189100,2e lijns (Doorgezette incidenten),Dv met Bert de Vries
1189102,2e lijns (Doorgezette incidenten),vcd  token code
1189103,Functioneel beheer,Werkinstructie koppelen vrijgave formulieren
1189104,2e lijns (Doorgezette incidenten),printscreens
1189105,2e lijns (Doorgezette incidenten),WS Connect: D1 km7 b2 : Telefoon blijft niet in beeld staan als zij probeert te bellen.
1189106,Hardware / Werkplekbeheer,PC gaat niet meer aan
1189109,2e lijns (Doorgezette incidenten),vraag over vervanging toner
1189113,2e lijns (Doorgezette incidenten),CSC vraagt om safeword code
1189115,2e lijns (Doorgezette incidenten),wire solutions vraag over telefonie
1189119,2e lijns (Doorgezette incidenten),VCD vraagt om safewordcode
1189122,Functioneel beheer,Ultimo - functioneelbeheer Hunite
1189123,Functioneel beheer,Gegevens doornemen bij kopiëren van inventaris
1189125,Functioneel beheer,Filter regel van selectielijst werkt niet in subscr. omgeving
1189126,Functioneel beheer,Ultimo Laptop vastgoed
1189130,Functioneel beheer,Ultimo tabel afdelingsbenamingen
1189134,2e lijns (Doorgezette incidenten),Dv Dennis Havekes. Inplannen
1189136,Functioneel beheer,Cs-dossier: contact verwijderen
1189139,Functioneel beheer,CS-agenda: radiologie verslag niet direct in te zien.
1189141,2e lijns (Doorgezette incidenten),CSCRM-ERP ww kwijt
1189143,1e lijns beheer (Helpdesk),telewerk url nodig
1189145,Hardware / Werkplekbeheer,MF printen komt allemaal op verkeerd papier.
1189146,Functioneel beheer,CS-ziscon: password vergeten
1189147,2e lijns (Doorgezette incidenten),MF standaardprinter
1189148,2e lijns (Doorgezette incidenten),geen printers beschikbaar op server
1189151,1e lijns beheer (Helpdesk),PC start niet goed op
1189153,Hardware / Werkplekbeheer,Computer blijft problemen geven. Werkbalk verdwijnt. Afsluiten gaat niet goed.etc
